"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
2,"2012-09-01","California","Redwood City","San Mateo County Sheriffs Department- Redwood City Task Force",1,30,1,"Pit Bull","http://webcache.googleusercontent.com/search?q=cache:NsCvwI10zsgJ:redwoodcity-woodside.patch.com/blog_posts/police-shoot-and-kill-family-pet-059fc4f2+&cd=1&hl=en&ct=clnk&gl=us",,,"Buddy","Unknown",0,0,0,0,0,1,1,"Plain Clothes",0,2,2,2,2,2
4,"2012-12-06","California","Whittier","Pico Rivera Sheriffs",1,30,1,"Pit Bull","http://articles.latimes.com/2013/jul/11/local/la-me-ln-deputies-allegedly-shoot-kill-dog-20130711",,,"Chico Blue","Multiple unknown",1,0,0,0,0,0,2,"Uniform",1,2,0,0,1,0
8,"2012-03-21","California","San Bernardino","San Bernardino Police Department",1,30,0,"Dalmation Mix","http://abc7.com/archive/8600965/",,,"Julio","Unknown",1,0,0,0,0,0,0,"Uniform",1,2,0,0,0,0
17,"2013-01-06","Nevada","Las Vegas","Las Vegas Metro",1,100,1,"American Bully","http://www.reviewjournal.com/news/officer-involved-shootings/police-kill-pit-bull-bubba-backyard-las-vegas-home",,,"Bubba","William Wilson",2,0,0,0,0,0,0,"Uniform",0,1,0,2,1,2
18,"2012-05-14","Nevada","Las Vegas","Las Vegas Metro",1,50,0,"Belgian Malinois","http://www.lasvegassun.com/news/2012/may/23/police-dog-shot-officer-dies-after-nine-day-fight-/",,,"Marco","Edward J. Renfer",0,0,0,0,0,0,0,"Uniform",3,3,0,0,0,0
19,"2014-02-08","Idaho","Filer","Filer Police Department",1,50,0,"Labrador","http://www.kboi2.com/news/local/Filer-police-show-video-of-officer-killing-a-dog-245122931.html",,,"Hooch","Tarek Hassani",2,0,1,0,0,0,1,"Uniform",0,2,1,0,2,0
20,"2014-06-18","Utah","Salt Lake City","Salt Lake City Police",1,100,0,"Weimaraner","http://www.sltrib.com/sltrib/news/58123573-78/officer-dog-burbank-police.html.csp","http://www.sltrib.com/home/3078402-155/geists-owner-sues-salt-lake-city",,"Geist","Brett Olsen",2,0,0,0,0,0,0,"Uniform",0,2,2,0,1,0
21,"2012-03-31","Texas","Dalhart","Dalhart Police Department",1,30,0,"Australian Shepherd and Blue Healer mix","http://www.newschannel10.com/story/17519045/controversy",,,"Smokey","Serna",1,0,2,0,0,0,0,"Uniform",3,3,0,0,0,0
22,"2011-07-18","Texas","Lubbock","Lubbock Police Department",1,100,0,"Saint Bernard","http://www.kcbd.com/story/15100830/dog-shot-by-police-family-upset",,,"Payton","Unknown",1,0,1,0,0,0,2,"Uniform",3,2,0,0,2,0
23,"2014-03-19","Oklahoma","Ardmore","Ardmore Police Department",1,50,1,"Pit Bull","http://www.dailymail.co.uk/news/article-2588870/Devastated-family-claims-police-officer-shot-dog-no-reason-called-killing-awesome.html","http://kfor.com/2014/03/24/oklahoma-family-police-shot-dog-for-no-reason-claim-officer-said-killing-was-awesome/",,"Cali","Brice Woolley",0,0,2,0,0,0,1,"Uniform",3,3,0,0,2,0
24,"2013-01-01","Colorado","Boulder","Boulder Police Department",1,100,0,"Elk","http://www.dailycamera.com/news/boulder/ci_25885253/mapleton-elk-trial-boulder-county-jury-deliberating-sam",,,"Big Boy","Sam Carter",1,0,0,0,0,0,0,"Uniform",0,3,1,1,2,1
25,"2011-10-04","Texas","Arlington","Arlington Police Department",1,50,0,"Bassett Hound and Rottweiler mix","https://web.archive.org/web/20111013184239/http://www.myfoxdfw.com/dpp/news/101111-officer-kills-dog-as-kids-watched,-owner-says",,,"Bucky","Jesse Davis",1,0,1,0,0,0,2,"Uniform",0,3,2,2,2,0
26,"2012-06-18","Texas","Arlington","Arlington Police Department",2,50,1,"Unconfirmed","http://www.nbcdfw.com/news/local/Dogs-Reportedly-Shot-During-Disagreement-in-Arlington-159478115.html",,,"Unknown","Unknown",2,1,0,0,0,1,1,"Uniform",1,2,0,0,0,0
27,"2013-06-17","Texas","Liberty Hill","Leander Police Department",2,50,0,"German Shepherd","http://www.myfoxaustin.com/story/22625209/httpswwwfacebookcomjusticeforvinnyreftsfrefts","https://www.facebook.com/JusticeForVinny",,"Vinny","Woodson Blase",0,1,1,0,0,0,2,"Uniform",0,2,0,0,2,0
28,"2012-04-14","Texas","Austin","Austin Police Department",1,30,0,"Blue Heeler","http://www.huffingtonpost.com/2012/04/17/justice-for-cisco-police-officer-killed-dog-texas_n_1432682.html",,,"Cisco","Thomas Griffin",0,0,0,0,0,0,2,"Uniform",0,2,0,0,2,0
